No.;Time;Comment;Scramble;Date;P.1;P.2
1;DNF(19.45);;R2 D F U R F' R' B L D2 R' F2 B2 R U2 L D2 R B' Rw2 Uw2;2023-08-10 15:10:15;6.72;12.73
2;DNF(16.63);;D B2 F2 L' U2 L B2 R' D2 U2 R' D2 R F D F D U2 B2 F' Fw Uw;2023-08-10 15:11:12;9.48;7.15
3;20.05;;F2 D2 B2 R F2 R2 U2 L' D2 R D2 U2 B' U R2 F' L' R B2 U2 B Fw' Uw;2023-08-10 15:11:57;8.65;11.40
4;14.45;;F2 L U F' L' B2 R2 D' F' R2 U2 R2 F D2 R2 L2 F' B2 L2 R Rw' Uw';2023-08-10 15:12:28;8.05;6.40
5;DNF(19.33);;F' D' U' R2 D L2 U' F2 L2 D L2 U L B F' L' R2 D' B2 F Fw' Uw;2023-08-10 15:12:52;8.48;10.85
6;23.54;;F B2 R' L2 F' R2 D' F B2 U2 D2 R2 D B2 R2 F2 D2 L Uw2;2023-08-10 15:13:27;5.85;17.69
7;17.37;;F U B' U F' R' B' L U F' L2 F2 D2 B' D2 F U2 D2 F R2 U2 Rw' Uw';2023-08-10 15:14:05;6.22;11.15
8;15.33;;R' F D2 R U' R' B L F' U2 R2 D2 B2 D2 R B2 L D2 R2 L' Uw2;2023-08-10 15:14:34;5.85;9.48
9;12.14;;F2 D B D B2 D L2 R2 D F2 L2 U R2 D R F2 L' B F2 D U2 Fw Uw;2023-08-10 15:16:24;5.08;7.06
10;DNF(18.15);;D2 L' B2 U R2 U2 R2 B2 D' U F2 U' L2 R U2 B D2 R2 F2 L Fw';2023-08-10 15:16:44;6.72;11.43
11;14.75;;U2 R2 F L2 F R2 B2 F' U2 L' B2 F2 D' F L R F2 L;2023-08-10 15:17:23;6.32;8.43
12;13.90;;F2 R' F U B D R D' L2 D' L2 F2 U2 R2 B2 U R2 U2 B R' Fw' Uw';2023-08-10 15:17:47;5.85;8.05
13;12.68;;U2 R' F2 L2 F D L' F U B2 D' B2 R2 U2 D B2 R2 D2 L2 B' Fw Uw;2023-08-10 15:18:12;6.22;6.46
14;15.58;;F2 U2 R U' R F D F R F2 R F2 U2 B2 D2 R B2 R' F2 R2 B' Rw' Uw';2023-08-10 15:18:39;6.25;9.33
15;17.66;;U R U' F2 L' U' B L' F2 R' L2 U2 D2 B2 L U2 L2 F2 B2 D Fw' Uw2;2023-08-10 15:19:27;11.65;6.01
16;12.70;;F' U F B U' R' L2 F D' L2 U R2 D R2 B2 R2 B2 D' B2 D' B Uw2;2023-08-10 15:19:54;5.05;7.65
17;15.48;;F L2 B U2 F' L2 B' D2 R2 U2 F D2 U' L' U R B' D R B2 F Rw' Uw;2023-08-10 15:20:18;6.98;8.50
18;14.89;;D' F B2 L F2 L U2 F D' L2 D L2 F2 L2 U F2 D' B Fw' Uw2;2023-08-10 15:21:32;5.48;9.41
19;22.53;;F2 U R2 D' B2 U2 L2 F2 U2 L' B2 F' L2 R U' B' L2 R2 Fw Uw';2023-08-10 15:21:57;6.08;16.45
20;13.51;;D' L2 U' B2 L2 D2 B2 L2 D B2 F2 L B' F' D L F2 L' F2 D2;2023-08-10 15:22:29;5.25;8.26
21;13.17;;U2 F D2 L2 U2 B2 R2 F D2 B' U2 R' U F2 D B' R B2 L2 D2 R2 Rw Uw2;2023-08-10 15:22:57;5.51;7.66
22;12.28;;L' F' U' L B' R2 D' R D R2 D2 B' D2 R2 B L2 D2 F D2 R2 Rw' Uw';2023-08-10 15:23:29;5.65;6.63
23;39.95;;B2 R2 U2 R2 D2 B2 D' B2 U B2 F2 L D F' D R2 B' D' B2 L2 Fw;2023-08-10 15:23:53;31.85;8.10
24;DNF(14.69);;F2 D' B D2 F2 L F2 U' R' D2 B' R2 B' R2 D2 R2 D2 B R2 F D' Rw';2023-08-10 15:24:42;5.98;8.71
25;13.91;;L B' U' R2 F2 R2 U2 B' D' R B2 D2 B2 L' U2 R' U2 F2 L' F2 Rw Uw;2023-08-10 15:25:19;6.18;7.73
26;14.76;;R2 B2 U2 F2 U2 L D2 U2 R F' L2 D' B F' L' F R' D' Rw';2023-08-10 15:25:43;5.55;9.21
27;16.70;;F' L B2 U' L2 D' R2 F2 D' L2 B2 U' L2 U L' D' R2 B L R2 D2 Uw2;2023-08-10 15:26:21;6.02;10.68
28;DNF(12.71);;D' F R2 B' U2 F U2 R2 F2 L2 F2 U F' D' U2 R F2 L' B' U Uw2;2023-08-10 15:26:48;7.18;5.53
29;20.06;;U2 B R' D' R F' R2 D' R' B2 L B2 U2 D2 R' B2 L2 D2 B' Rw';2023-08-10 15:29:26;7.55;12.51
30;DNF(19.89);;R2 U2 B U B' D' F' D' U2 F2 D2 F2 L F2 R' U2 D2 R L Fw Uw2;2023-08-10 15:29:56;5.99;13.90
31;DNF(24.66);;L' F' B' D R' L' U R F R' D2 F2 L' U2 B2 U2 R2 B2 L2 F2 Uw2;2023-08-10 15:31:15;13.92;10.74
32;22.36;;R2 U2 R' B2 R2 F2 D2 B2 L U2 L2 R' D' B F' U' B' L B' R F Fw Uw2;2023-08-10 15:32:01;7.88;14.48
33;15.19;;R' F B D2 F' B U L F2 L2 U2 B' L2 U2 B U2 F B L2 D2;2023-08-10 15:32:31;5.38;9.81
34;11.36;;R2 F2 D' F2 D2 R2 U2 L2 U2 B2 L2 F' L' B' D' U' R' D' F2 D2 Rw Uw2;2023-08-10 15:32:58;5.45;5.91
35;DNF(13.20);;R2 D' F2 U R2 U L2 R2 F2 U' B' F' L' F R2 F' U L' R2 Rw' Uw';2023-08-10 15:33:20;5.49;7.71
36;23.76;;F' R2 D' R2 F2 R2 D R2 U B2 D' B2 U F' L R B R' U B' L Rw2 Uw;2023-08-10 15:34:01;5.05;18.71
37;18.38;;L2 D' F2 U F2 U B2 D' R2 D' U R' B' L' U2 B F L F D' U';2023-08-10 15:34:36;8.72;9.66
38;14.09;;B R' F2 U2 F U2 L' B' U R2 L2 B2 U' L2 B2 U D2 F2 R2 U' Rw' Uw';2023-08-10 15:42:15;6.18;7.91
39;DNF(14.59);;D F2 R2 D R2 D' B2 D' R2 F2 B' U L2 F L' F R B2 L' D' U Fw' Uw';2023-08-10 15:43:00;5.98;8.61
40;17.03;;B2 D2 F2 D B2 D R2 U2 B2 R2 U' F' R B R2 F D2 B' D' F' Rw Uw2;2023-08-10 15:43:45;5.95;11.08
41;DNF(14.76);;R2 F D F B D2 L' D U2 L B2 R' U2 R2 D2 F2 L2 F2 R2 F' Fw' Uw';2023-08-10 15:44:16;5.95;8.81
42;15.25;;D' F R' B2 U2 F2 R' U2 F2 R D2 L F2 R2 D' L F2 U' B U2 B Rw' Uw';2023-08-10 15:45:05;5.95;9.30
43;DNF(15.66);;F U' F2 D B R U' R U L2 F2 L2 B2 D2 R2 B' D2 F' U2 F' Rw2;2023-08-10 15:45:30;7.65;8.01
44;15.69;;U2 L' F2 R B L' F U' D' R U2 R B2 U2 B2 L F2 R' D2 L2 Rw Uw';2023-08-10 15:46:54;5.91;9.78
45;26.53;;U2 R2 D' F2 R2 F2 U L2 U B2 L2 B L' R2 D' F D' B D U2 R Rw' Uw;2023-08-10 15:48:50;12.45;14.08
46;18.23;;U2 L' D L2 U2 R2 U B2 L2 D R' U' F' D2 U' R' B2 Rw' Uw;2023-08-10 15:49:26;7.72;10.51
47;16.63;;L D2 R B' U2 F2 D' B' U' D2 F2 B2 R F2 R' D2 L D2 L U2 F2 Rw2 Uw';2023-08-10 15:49:59;6.68;9.95
48;DNF(16.26);;R D' L2 F' R' U' B2 R L B U' L2 B2 D L2 U B2 R2 D R2 D2 Uw';2023-08-10 15:50:55;6.41;9.85
49;DNF(13.73);;B' U2 R L2 D R2 B2 R2 B2 D2 B2 F2 D L2 F' U' B' R' U L' U2 Fw Uw2;2023-08-10 15:51:46;6.05;7.68
50;15.05;;U' R2 F2 R U2 F' R L' F2 D2 B' R2 F' L2 B' U2 D2 L2 F' Rw2 Uw2;2023-08-10 15:53:37;5.85;9.20
51;DNF(13.00);;U' L2 B2 L2 F2 D' R2 D R2 D' B2 R2 L F D' R' F' L2 U R Rw' Uw;2023-08-10 15:54:06;4.82;8.18
52;16.61;;B R2 D2 B2 L2 U' F2 R2 U F2 D B R U' L' R' D' F' R' F' Fw Uw;2023-08-10 15:55:01;5.66;10.95
53;16.03;;F R' U R2 U' R2 U' F2 D2 R2 U2 F2 L F L' D F' U F R' Fw Uw';2023-08-10 15:55:27;5.52;10.51
54;15.97;;R L2 F L F U L2 F D' R2 F2 D2 L2 B D2 F U2 L2 B U2 Rw';2023-08-10 15:56:29;6.70;9.27
55;17.30;;D2 U L B2 U2 B2 F2 L U2 R F2 R' U' B2 F R F2 R' D F Fw' Uw';2023-08-10 15:56:59;6.12;11.18
56;13.09;;D2 L2 R2 F2 R2 D2 B' L2 B D' L' U2 L B' U L2 B2 F' Fw;2023-08-10 16:59:06;6.88;6.21
57;16.44;;B2 L2 U' L2 U B2 F2 U F2 U2 R2 L U' L D F2 L' B F L' Rw Uw';2023-08-10 16:59:52;6.82;9.62
58;24.99;;R2 U' R2 B2 R2 F2 U' R2 D' F2 U2 L U' F D2 R D2 R B2 R2 Fw Uw2;2023-08-10 17:00:22;7.29;17.70
59;35.70;;R2 B2 U2 L2 U2 L D2 B2 L' U2 R2 U' R B R' B L D2 R D Rw2 Uw';2023-08-10 17:00:58;22.97;12.73
60;DNF(18.54);;U R2 L B' U R' U2 L2 F L2 F B2 R2 L2 U2 R2 B' U2 D' Rw Uw';2023-08-10 17:33:16;9.02;9.52
61;15.64;;L R2 U2 F2 L2 B' U2 B R2 U2 B' F2 L' D L2 R U' R' B L Rw' Uw;2023-08-10 17:34:21;6.59;9.05
62;16.45;;B F2 L2 U2 F' U2 B F2 R B' R2 F U' R B2 D' R' Rw' Uw2;2023-08-10 17:35:03;8.15;8.30
63;DNF(16.05);;D F' L' B2 R B2 D2 B2 D2 L U2 R' B2 R D' U2 F' U2 L' B2 Rw;2023-08-10 17:36:11;7.45;8.60
64;DNF(19.32);;R' F2 D2 B' L B D R' U2 L2 D' B2 R2 B2 L2 U L' Rw Uw;2023-08-10 17:36:43;5.72;13.60
65;15.63;;D B F2 D' B2 D L2 D L2 R2 B2 D' B R2 D2 R B' R2 D2 Fw Uw;2023-08-10 17:37:48;6.59;9.04
66;18.15;;B' U L D2 R2 B2 R' F2 U2 B2 D2 R' F2 L2 D R B D U' L' R' Uw';2023-08-10 17:38:13;7.62;10.53
67;DNF(23.09);;R2 B2 D' L F R' L' B' U B D2 B2 L2 D2 B' D2 F' U2 L2 U2 F' Fw' Uw';2023-08-10 17:38:42;11.82;11.27
68;DNF(17.95);;B L' D' F' L2 B' D F2 L F2 D2 L2 D' F2 B2 L2 D L2 B2 L2 B2 Rw2 Uw2;2023-08-10 17:39:36;5.69;12.26
69;16.09;;F' R' D' L2 D R2 B2 D L2 D2 U' L2 U' R2 B' L2 U' B L2 F U' Uw';2023-08-10 17:40:17;5.82;10.27
70;16.60;;U L R2 B2 L2 R2 U' F2 D' F2 D2 L2 U' F L' D' U2 B' L' B Fw Uw';2023-08-10 17:40:45;6.82;9.78
71;12.62;;U2 B R2 B' D2 F L2 U2 F U2 F D' R B L U' B D' F2 R Fw Uw;2023-08-10 17:41:11;5.42;7.20
72;18.26;;U2 L D' R2 U2 F2 D R2 D2 F2 U R F' L R D U L2 R';2023-08-10 17:41:31;6.72;11.54
73;DNF(16.98);;D' L2 D2 F2 U B2 D' L2 D' F2 U2 F' R' B' F D2 U F' U F R' Fw Uw';2023-08-10 17:42:12;7.27;9.71
74;16.80;;L' F2 D B2 F2 R2 D' F2 U2 L2 F2 L2 U2 F R2 D R' D F U' Rw Uw';2023-08-10 17:42:45;6.32;10.48
75;15.80;;R' D B' U' B' L' U D' F2 D2 F' U2 F R2 B' L2 B2 R2 L2 B U Rw Uw;2023-08-10 17:43:27;6.02;9.78
76;DNF(16.43);;U' B2 D' U2 B2 L2 R2 D' R2 U B' R F2 D' U' L' B F2 U Fw' Uw;2023-08-10 17:43:53;5.45;10.98
77;DNF(18.10);;L B' U D2 F U2 R' F L2 U2 F2 D F2 U' L2 U R2 U' R2 U Fw' Uw';2023-08-10 17:44:33;6.42;11.68
78;13.02;;F' U2 B2 D2 L2 D L2 D R2 U F' R D L' R2 U' L' R U Rw;2023-08-10 17:45:30;5.16;7.86
79;15.17;;L2 F2 R2 F D2 B' U2 R2 B' F' D2 L B2 D B U R F2 U2 F2 Rw2;2023-08-10 17:46:13;6.66;8.51
80;14.92;;B' F2 L2 U' B2 U B2 F2 D' L2 R2 U' B2 L' B' U' F D' B2 R2 B Fw' Uw';2023-08-10 17:46:40;6.19;8.73
81;15.84;;L' F2 D2 B R2 B' R2 D2 F' L2 F' L' B D' L R U' L' R2 F2 Fw;2023-08-11 14:53:13;6.80;9.04
82;DNF(15.52);;B2 L2 D' R B2 U L2 F L U2 D2 R2 U2 L' U2 L' F2 L2 B2 U Rw' Uw2;2023-08-11 14:53:38;6.31;9.21
83;DNF(21.29);;L F2 U B2 U B2 F2 U L2 R2 U2 R' U B L R2 B F D Fw Uw';2023-08-11 14:55:03;5.70;15.59
84;15.46;;R2 B' D2 F L' U' F2 R L F L2 D2 F2 U2 F L2 U2 B R2 F' L2 Rw';2023-08-11 14:55:52;6.24;9.22
85;15.44;;F' R D F2 B U2 L2 U' B' R2 U2 F2 L2 B2 R' L2 B2 U2 B2 Rw2 Uw2;2023-08-11 14:56:17;6.08;9.36
86;13.10;;D2 B2 L' B2 F2 L' R B2 D2 R' D2 U B D' L' U2 R D2 B' L Rw2 Uw2;2023-08-11 14:56:43;5.32;7.78
87;14.39;;R D U2 R' D2 B2 U2 R B2 L R2 U2 R' F2 B' L B2 F' D' F L2 Uw2;2023-08-11 14:57:04;5.69;8.70
88;DNF(15.74);;F2 D2 B2 D B2 L2 D' L2 U' F2 L2 U L' F' U' B2 F' D' B L Rw2;2023-08-11 14:57:29;6.17;9.57
89;DNF(13.57);;F2 U' L B2 R' D B2 L' F' L2 F2 R2 U2 F2 B D2 B2 R2 F' Fw Uw2;2023-08-11 14:58:10;6.26;7.31
90;14.93;;F2 D2 L' D2 R' D2 R2 F2 R' D2 L2 U2 B' F U L R' D' U2 R' B2 Rw;2023-08-11 14:58:56;5.93;9.00
91;DNF(19.54);;D' R2 D2 R2 U B2 R2 F2 D' B L R U F' D L2 B U2 R2 Uw';2023-08-11 14:59:17;5.39;14.15
92;19.60;;F2 R L2 D' R F L2 B' R' U2 B2 D2 B2 L D2 L' F2 L2 U2 L Rw Uw;2023-08-11 14:59:57;6.05;13.55
93;17.51;;D2 R2 U2 F' U2 B R2 F U2 L2 R2 F2 L D' B2 D' B2 U B F';2023-08-11 15:00:25;5.75;11.76
94;16.25;;F2 L' F2 L' F2 R2 F2 D2 L2 D2 L' D' L' B L2 R U L D2 U' Uw;2023-08-11 15:00:52;6.25;10.00
95;DNF(15.49);;D2 R2 D2 F' U2 B2 D2 R2 B2 F' R B2 D' U F L' U L' B2;2023-08-11 15:01:17;5.90;9.59
96;16.41;;D2 R' L' U' B' U' F' R U L D2 L' F2 B2 L2 U2 L' U2 F2 R' D2 Rw' Uw2;2023-08-11 15:02:41;5.89;10.52
97;18.81;;R2 B2 F2 R2 F2 D2 L' B2 F2 L' B U F2 U2 R B L B' R2 Uw;2023-08-11 15:03:05;6.64;12.17
98;16.51;;D' R2 D' F2 D' U2 L2 B2 L B L R' F U' B D' F' D2 Fw Uw2;2023-08-11 15:03:34;6.35;10.16
99;16.06;;D L2 U2 F2 U' B2 D R2 D R2 F D L2 U2 F R2 D2 L B' F2 Fw' Uw;2023-08-11 15:04:06;7.08;8.98
100;15.19;;R2 B' D2 U2 R2 F U2 B2 R2 U2 F' D' R' D' U' B D L B F' Rw Uw2;2023-08-11 15:04:30;7.10;8.09
101;15.78;;U2 L D2 L R U2 F2 R F2 D2 R U2 F' L' R' U F2 L U R2 F Rw Uw2;2023-08-11 15:08:01;7.17;8.61
102;16.97;;B2 F' R2 F' L2 D2 B' L2 B' L2 F' D' U R D F' L2 D L2 F' Fw;2023-08-11 15:08:25;6.62;10.35
103;14.27;;D2 B R D' R' L U' R2 U2 F L2 F' L2 U2 B' R2 B L2 F U' Uw;2023-08-11 15:08:53;6.11;8.16
104;DNF(26.97);;L2 B2 L U2 L F2 D2 R F2 L2 U2 B' L' D2 R2 D2 U' F L F Fw Uw';2023-08-11 15:09:16;5.64;21.33
105;15.87;;U R2 D' L2 D2 B2 U B2 F2 D' R' D2 F R' B' L' U B' U2 L2 Rw' Uw;2023-08-11 15:10:02;6.20;9.67
106;15.06;;B' U2 L2 F' U2 B2 R2 B' L2 F' U2 D' L R B F2 L' B2 L2 D F' Uw2;2023-08-11 15:10:25;6.84;8.22
107;15.19;;R' B2 F2 R2 F2 L' D2 L R B2 R D' B U L' B U' B2 L R' Rw' Uw';2023-08-11 15:11:06;5.35;9.84
108;17.15;;F' L' U2 L2 D' U2 L2 B2 U2 B2 U' L2 B' U' L2 B2 R B2 U' Rw';2023-08-11 15:11:29;7.36;9.79
109;DNF(17.18);;D2 R F2 L2 B2 D F2 U B2 D2 L2 B2 R' B' F2 D' L2 B' L2 D Fw' Uw2;2023-08-11 15:11:54;6.06;11.12
110;DNF(17.78);;D' F U' D2 R2 D' R D' L2 U2 F R2 U2 R2 U2 F L2 F U Fw';2023-08-11 15:12:54;7.45;10.33
111;DNF(16.13);;B2 L2 D B2 U' B2 L2 B2 L2 U R2 D2 F' L' R' U F' D R' U2 F' Fw' Uw;2023-08-11 15:13:24;5.70;10.43
112;DNF(13.73);;D2 B2 D F2 R2 U2 F2 U' F2 U L2 B' R2 U' L D L' D2 L2 F Uw2;2023-08-11 15:15:26;5.16;8.57
113;14.92;;U F2 R D2 F2 U2 F2 R' B2 R U2 R B2 U' B R' B' F' U2 B' D' Rw2 Uw;2023-08-11 15:15:57;5.69;9.23
114;16.81;;D L2 F R2 B' U2 L' F2 R U R2 L2 U' B2 U' F2 R2 D F2 D R2 Rw' Uw2;2023-08-11 15:16:23;6.07;10.74
115;15.48;;U2 L' U' B2 D F2 D' L2 R2 D2 R2 U' L2 U R' D2 B' D2 L' F U Rw' Uw';2023-08-11 15:16:48;5.93;9.55
116;24.02;;U2 R' U2 B2 R B2 L F2 L2 R' U2 F' D' F' L2 F' D U' L' B' U2 Uw';2023-08-11 15:17:14;6.04;17.98
117;19.15;;U2 R2 B2 L2 U' L2 F2 D' B2 D2 B' F' D' L B' F' D' L2 B' U Rw Uw;2023-08-11 15:18:01;8.62;10.53
118;15.26;;R2 U R2 B2 L2 B2 U' F2 U R2 B2 U2 B' F R' U L D' B2 L2 U2 Rw' Uw';2023-08-11 15:18:28;6.32;8.94
119;14.57;;B2 U2 R2 F2 R F2 U2 F2 R B2 F2 R' D R2 B D F' R U2 B2 R2 Fw Uw2;2023-08-11 15:18:51;5.70;8.87
120;15.93;;D' F' L R2 D B2 F2 R2 B2 U2 R2 U' F2 D' B D U L' F D2 U2 Rw2 Uw2;2023-08-11 15:19:23;5.81;10.12
121;DNF(17.46);;U' R B2 L B2 L2 F2 D2 L' F2 R2 D2 B2 F' D U' L' U' B2 R B2 Fw' Uw2;2023-08-11 15:19:49;7.47;9.99
122;DNF(13.82);;F L R2 D R2 D B2 U F2 D2 F2 D' R' D2 L2 U2 B R2 D2 R' Fw Uw';2023-08-11 15:20:36;5.99;7.83
